id,qname,parent_qname,elr,elr_id,role_definition,elr_order,depth,order,parent_id
00008283-df65-4a6a-9536-0c1a61f2af02,core:RetailWholesaleIndustriesConcentrationRisk,core:TypesIndustryConcentrationRiskHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,1770,820cfd98-b6fc-4ba9-a28e-1a76bd4a313f
00057b35-f45a-41af-8453-1d7aa7cc322b,core:OilGasReportableOperatingSegmentsHeading,core:TotalReportableOperatingSegmentsIncludingAnyUnallocatedAmount,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,733,d938d30d-3190-4ae7-a586-0b9a34822897
0009a0ed-08f1-4540-ba5b-7fb741498a80,core:FurtherItemGainLossOnCashFlowHedgesNetTaxInOtherComprehensiveIncomeComponentCorrespondingTotal,core:TotalGainLossOnCashFlowHedgesNetTaxInOtherComprehensiveIncome,http://xbrl.frc.org.uk/fr/core/roles/StatementComprehensiveIncomeFRS102,212,212 - Statement of Comprehensive Income (FRS 102),212,3,28,1f1141a0-f4c1-452c-90f8-771e37533629
000fc7dc-6409-4111-ab2c-9778d38e1ed1,direp:TypeGrowthRateHeading,direp:TypeGrowthRateDimension,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,3,331,5692f38e-69fa-4b3f-b1d3-e15c45d617da
0031f6d2-04f3-4310-afb5-7f473a1068d8,core:TotalOperatingIncome,core:NotesOnIncomeExpenseAdditionalBankingFinanceItemsHeading,http://xbrl.frc.org.uk/fr/core/roles/AdditionalIndustrySectorDataFRS102,402,402 - Additional Industry Sector Data (FRS 102),402,3,119,0b098644-8c6b-4c2b-81fd-31c8bdf57d6e
004fa122-6ef8-420c-94e2-89b3a16b896b,core:SpecificDiscontinuedOperation2,core:DiscontinuedOperations,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,14,b2e1e1a6-057c-4c4f-9c41-43eded878ce2
0057a5ec-33c1-4a1e-bba2-85d44f6a38ff,core:RelatedAmountNotSetOffInBalanceSheetFinancialCollateral,core:RelatedAmountsNotSetOffInBalanceSheetFinancialInstrumentsCollateral,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,7,1529,b3715b09-d6a5-438d-883f-72328c5a5228
006403a6-58f2-4ddd-b047-940baccdb764,core:OtherDisposalsPropertyPlantEquipment,core:DisposalsPropertyPlantEquipment,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,6,939,0de5eec9-890f-4554-8ca5-414060b858bb
006bb476-379b-4437-ad5c-ad2de18a3fcb,core:RefiningSegment,core:OilGasReportableOperatingSegmentsHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,6,740,00057b35-f45a-41af-8453-1d7aa7cc322b
00755136-2a84-4999-9d45-e1ee6c48da94,core:ContingentLiabilitiesRecognisedInBusinessCombinationAdded,core:ContingentLiabilitiesRecognisedInBusinessCombination-MovementAnalysisHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,7,302,32896d98-c5a0-49d2-b554-d66e0d18ce50
00762c1c-d783-41c2-b080-127f7e7137a5,bus:O-PublicAdministrationDefenceCompulsorySocialSecurity,bus:TotalActivitiesDefault,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,52,2a4d1bda-384f-4361-b9c1-ed74b06b2f28
0076f734-3187-44c7-89f3-13b95e59ce61,core:FurtherItemIncreaseDecreaseInNetAssetsAttributableToShareholdersComponentTotalChangeInCorrespondingTotal,core:NetAssetsAttributableToShareholders-MovementAnalysisHeading,http://xbrl.frc.org.uk/fr/core/roles/AdditionalIndustrySectorDataFRS102,402,402 - Additional Industry Sector Data (FRS 102),402,5,555,aa602941-1650-49f6-aa01-cd9ccde113fc
00807b76-b62a-42ab-91c3-23595087a07f,core:DescriptionBusinessCombinationDisclosuresWhichAreIncompleteOrProvisionalReasonsForThis,core:DisclosuresOnSpecificBusinessCombinationsHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,3,216,5c47319a-1c93-4b83-b78d-0f720a14613f
008c98c6-1dcb-47e1-9374-ca0281c0b681,countries:Mayotte,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,1976,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
009e4bea-c702-4601-884a-e50434ada8fe,core:ValuationMinePropertiesCriticalEstimatesJudgements,core:CriticalAccountingEstimatesJudgementsAdditionalExtractiveIndustryItemsHeading,http://xbrl.frc.org.uk/fr/core/roles/AdditionalIndustrySectorDataFRS102,402,402 - Additional Industry Sector Data (FRS 102),402,3,601,c5b16b64-9061-42df-8ac1-9bc415b2e12c
00a3035a-7877-4c06-8719-6a7f7e08d523,core:DecreaseInAssetsAttributableToShareholdersUnderStandardDueToRedemptionShares,core:NetAssetsAttributableToShareholders-MovementAnalysisHeading,http://xbrl.frc.org.uk/fr/core/roles/AdditionalIndustrySectorDataFRS102,402,402 - Additional Industry Sector Data (FRS 102),402,5,549,aa602941-1650-49f6-aa01-cd9ccde113fc
00a34b15-22a2-4cf3-b6a4-7121903ceede,aurep:DateAuditorsReport,aurep:AuditReportHeading,http://xbrl.frc.org.uk/aurep/roles/AuditReport,15,015 - Audit Report,15,1,18,70bb488e-b671-4c20-b6f8-a308c93de16d
00affc4d-da36-4901-959b-ca4fe043e251,dpl:BankInterestSimilarIncomeReceivable,dpl:FinanceIncomeNetItemsHeading,http://xbrl.frc.org.uk/dpl/roles/FullDetailedProfitLoss,31,031 - Full Detailed Profit and Loss (UK),31,2,42,1b92d54f-bb6c-4669-bcae-1ed18e1c8ac4
