id,qname,namespace,local_name,xbrl_type,full_type,substitution_group,period_type,abstract,nillable,balance,preferred_label_role,is_dimension,is_typed_dimension,typed_domain_type,is_analysis_dimension,is_grouping_dimension
00f163e9-8fc0-4830-b7f3-8e5197b68a3d,core:GainLossOnFinancialInstrumentsNotFairValueThroughProfitOrLossFromForeignExchangeDifferences,http://xbrl.frc.org.uk/fr/2023-01-01/core,GainLossOnFinancialInstrumentsNotFairValueThroughProfitOrLossFromForeignExchangeDifferences,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
00f233a2-054d-4490-b2a7-4c251c74359c,direp:DiversityInclusionReporting-BoardExecutiveManagement-ByEthnicityPrimaryItems,http://xbrl.frc.org.uk/reports/2023-01-01/direp,DiversityInclusionReporting-BoardExecutiveManagement-ByEthnicityPrimaryItems,stringItemType,xbrli:stringItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00f6c09e-916f-4c40-b10d-b537004cb736,core:CostValuation,http://xbrl.frc.org.uk/fr/2023-01-01/core,CostValuation,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00fc9296-84a1-423d-b71f-16b901207e15,core:IncreaseDecreaseInNetInsuranceLiabilityAssetFromIncurredClaimsPaidOtherInsuranceServiceExpensePaidForInsuranceContractsIssuedExcludingInsuranceAcquisitionCashFlow,http://xbrl.frc.org.uk/fr/2023-01-01/core,IncreaseDecreaseInNetInsuranceLiabilityAssetFromIncurredClaimsPaidOtherInsuranceServiceExpensePaidForInsuranceContractsIssuedExcludingInsuranceAcquisitionCashFlow,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
0108df04-b327-4c97-8c25-502b02948dc5,core:FurtherItemCurrentAssetsBalanceSheet-onlyItemComponentTotalCurrentAssets,http://xbrl.frc.org.uk/fr/2023-01-01/core,FurtherItemCurrentAssetsBalanceSheet-onlyItemComponentTotalCurrentAssets,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
0110718b-87ff-41e8-a80c-2d9365a3315e,core:BankingIndustryConcentrationRisk,http://xbrl.frc.org.uk/fr/2023-01-01/core,BankingIndustryConcentrationRisk,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
01132bd3-1d8a-4670-9940-0491485f6397,core:DeferredIncomeCurrentLiability,http://xbrl.frc.org.uk/fr/2023-01-01/core,DeferredIncomeCurrentLiability,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,credit,,false,false,,false,false
01234b99-4823-4cc0-a319-de5179be18ff,core:ImpairmentReversalInvestmentPropertyCostModel,http://xbrl.frc.org.uk/fr/2023-01-01/core,ImpairmentReversalInvestmentPropertyCostModel,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
0127d9ad-f191-4a1a-88d7-978f02ce8758,core:FairValueMonetaryAssetsForForeignExchangeExposureAnalysis,http://xbrl.frc.org.uk/fr/2023-01-01/core,FairValueMonetaryAssetsForForeignExchangeExposureAnalysis,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
01306f03-a1d9-4cde-ba33-d34b12538788,core:AmountsRecoverableOnContracts,http://xbrl.frc.org.uk/fr/2023-01-01/core,AmountsRecoverableOnContracts,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
01316b89-e6f4-42ca-af14-59a991268331,lang:Greenlandic,http://xbrl.frc.org.uk/cd/2023-01-01/languages,Greenlandic,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
01373388-7686-4218-b25f-c6baef7731e9,core:OtherIncreaseDecreaseInContractAssets,http://xbrl.frc.org.uk/fr/2023-01-01/core,OtherIncreaseDecreaseInContractAssets,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,debit,,false,false,,false,false
014041ce-7b2c-4503-bf25-146ac7f8c6d0,core:InterestPaidClassifiedAsInvestmentActivities,http://xbrl.frc.org.uk/fr/2023-01-01/core,InterestPaidClassifiedAsInvestmentActivities,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
014759f9-dfc0-4fcd-adab-be6db3b4522f,core:GainLossInCashFlowsFromChangeInDueToBrokers,http://xbrl.frc.org.uk/fr/2023-01-01/core,GainLossInCashFlowsFromChangeInDueToBrokers,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,debit,,false,false,,false,false
014ca5f9-48aa-49aa-ad67-87a8936055f7,core:IncreaseDecreaseInDeferredTaxLiabilityFromAmountRecognisedInProfitOrLoss,http://xbrl.frc.org.uk/fr/2023-01-01/core,IncreaseDecreaseInDeferredTaxLiabilityFromAmountRecognisedInProfitOrLoss,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
01578906-b77f-4ae7-a844-29b39c03a74c,core:DebtSecuritiesAcquired,http://xbrl.frc.org.uk/fr/2023-01-01/core,DebtSecuritiesAcquired,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
015be999-638d-4060-a68c-06da7d238f1b,core:GainLossOnFinancialInstrumentsFairValueThroughOtherComprehensiveIncome,http://xbrl.frc.org.uk/fr/2023-01-01/core,GainLossOnFinancialInstrumentsFairValueThroughOtherComprehensiveIncome,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
0163f5d2-c681-4a96-8dbd-2c48a9b35ee4,core:DescriptionPrimaryReasonsForBusinessCombinationHowControlAcquired,http://xbrl.frc.org.uk/fr/2023-01-01/core,DescriptionPrimaryReasonsForBusinessCombinationHowControlAcquired,stringItemType,xbrli:stringItemType,xbrli:item,duration,false,true,,,false,false,,false,false
