qname,path_count,parent_count,total_occurrences
core:AmountBorrowingRepayableWithinSetTime,8,2,8
core:FurtherInformationOnParentLargestGroup,8,2,8
core:LocalAuthorityDebtSecuritiesHeld,8,2,8
curr:Euro,8,4,8
core:EffectiveInterestRateOnBorrowings,8,2,8
curr:USDollar,8,4,8
core:MaterialBankLoanGrouping,8,2,8
core:AddressParentSmallestGroup,8,2,8
core:BankBorrowings,8,2,8
core:Mortgage-backedSecuritiesHeld,8,2,8
core:BankBorrowingsOverdrafts,8,4,8
core:NameControllingParty,8,2,8
core:TotalDrawnUndrawnBorrowingFacilities,8,2,8
curr:PoundSterling,8,4,8
core:NameParentLargestGroupInWhichResultsAreConsolidated,8,2,8
core:NameParentSmallestGroupInWhichResultsAreConsolidated,8,2,8
core:FloatingRateNotesInIssue,8,2,8
core:SubordinatedLiabilitiesOwedToGroupUndertakings,8,2,8
core:BankOverdrafts,8,2,8
core:FurtherItemPensionOtherPost-employmentBenefitCostsComponentTotalPensionOtherPost-employmentBenefitCosts,8,2,8
core:CountryInWhichParentLargestGroupIncorporated,8,2,8
core:CollateralisedDebtObligationsHeld,8,2,8
core:GeneralDescriptionLoansPayableInDefaultOrBreachIncludingNatureDefaultOrBreachAmountsInvolved,8,2,8
core:FurtherItemLoanCapitalComponentTotalLoanCapital,8,2,8
core:AddressParentLargestGroup,8,2,8
core:DescriptionInvoiceDiscountingFacilities,8,2,8
core:OtherCurrentAssetInvestmentsBalanceSheetSubtotal,8,2,8
core:RetirementBenefitObligationsSurplus,7,5,7
core:UseParentsSubsidiariesAssociatesJointVenturesOtherRelatedPartiesDimensionsToIdentifyIndividualRelatedEntitiesGuidance,7,7,7
core:WagesSalaries,6,4,6
core:StaffCostsEmployeeBenefitsExpense,6,6,6
core:TotalInventories,6,4,6
core:Share-basedPaymentExpenseCashSettled,6,4,6
core:AccruedLiabilitiesDeferredIncome,6,4,6
core:PropertyPlantEquipment,6,4,6
core:IntangibleAssets,6,4,6
