qname,path_count,parent_count,total_occurrences
core:JointVenture18,2,2,2
core:JointVenture19,2,2,2
core:JointVenture2,2,2,2
core:JointVenture20,2,2,2
core:JointVenture21,2,2,2
core:JointVenture22,2,2,2
core:JointVenture23,2,2,2
core:JointVenture24,2,2,2
core:JointVenture25,2,2,2
core:JointVenture26,2,2,2
core:JointVenture27,2,2,2
core:JointVenture28,2,2,2
core:JointVenture29,2,2,2
core:JointVenture3,2,2,2
core:JointVenture30,2,2,2
core:JointVenture31,2,2,2
core:JointVenture32,2,2,2
core:JointVenture33,2,2,2
core:JointVenture34,2,2,2
core:JointVenture35,2,2,2
core:JointVenture36,2,2,2
core:JointVenture37,2,2,2
core:JointVenture38,2,2,2
core:JointVenture39,2,2,2
core:JointVenture4,2,2,2
core:JointVenture40,2,2,2
core:JointVenture41,2,2,2
core:JointVenture42,2,2,2
core:JointVenture43,2,2,2
core:JointVenture44,2,2,2
core:JointVenture45,2,2,2
core:JointVenture46,2,2,2
core:JointVenture47,2,2,2
core:JointVenture48,2,2,2
core:JointVenture49,2,2,2
core:JointVenture5,2,2,2
core:JointVenture50,2,2,2
core:JointVenture6,2,2,2
core:JointVenture7,2,2,2
core:JointVenture8,2,2,2
core:JointVenture9,2,2,2
core:LegalProceedings,2,2,2
core:LiabilitiesDefinedBenefitPlanPresentValue,2,2,2
core:LoansReceivablesClassifiedAsCashCashEquivalents,2,2,2
core:LossGainFromWrite-downsReversalsInventories,2,2,2
core:ManagedFunds,2,2,2
core:Merchandise,2,2,2
core:ModelUsedToMeasureInvestmentProperty,2,2,2
core:MovementAnalysesInFinancialInstrumentsCoveringAdditionsDisposalsLikeAreNotRequiredToBeTaggedGuidance,2,2,2
core:MutualFunds,2,2,2
core:Non-controlledInvestmentFunds,2,2,2
core:Non-financialAssetsPledgedAsCollateralSubjectToSaleOrRepledging,2,2,2
core:OnerousContractsExcludingVacantProperties,2,2,2
core:OperatingLeasePurposeDimension,2,2,2
core:OperatingLeases,2,2,2
core:OperatingLeasesRentalReceivables,2,2,2
core:OperatingProfitLoss,2,2,2
core:OtherAssociatesTotalIndividuallyImmaterialAssociates,2,2,2
core:OtherComprehensiveIncomeExpenseBeforeTax,2,2,2
core:OtherComprehensiveIncomeExpenseNetTax,2,2,2
core:OtherCoronavirusGrants,2,2,2
core:OtherInterestReceivableSimilarIncomeFinanceIncome,2,2,2
core:OtherInventories,2,2,2
core:OtherJointVenturesTotalIndividuallyImmaterialJointVentures,2,2,2
core:OtherNon-operatingNetGainLossBeforeTax,2,2,2
core:OtherProvisionsContingentLiabilities,2,2,2
core:OtherRepairsMaintenanceExpense,2,2,2
core:OtherSubsidiariesTotalIndividuallyImmaterialSubsidiaries,2,2,2
core:OtherUnconsolidatedStructuredEntitiesTotalIndividuallyImmaterialUnconsolidatedStructuredEntities,2,2,2
core:OwnWorkCapitalised,2,2,2
core:PresentValueFinanceLeaseReceivables,2,2,2
core:ProductionSupplies,2,2,2
core:ProfitSharingBonuses,2,2,2
core:RawMaterials,2,2,2
core:RawMaterialsConsumables,2,2,2
core:Refunds,2,2,2
core:RegulatoryMatters,2,2,2
core:ReimbursementRightsAssetFairValue,2,2,2
core:RelationshipBetweenEntityParentsHeading,2,2,2
core:RentalIncomeFromInvestmentProperty,2,2,2
core:RepairsMaintenanceExpenseProperty-related,2,2,2
core:RestructuringCosts,2,2,2
core:RestructuringOrReorganisation,2,2,2
core:RevenueFromConstructionContracts,2,2,2
core:RevenueFromOffPayrollWorking,2,2,2
core:RoyaltiesLicencesSimilarExpense,2,2,2
core:ShareOtherComprehensiveIncomeAssociatesAccountedForUsingEquityMethodBeforeTax,2,2,2
core:ShareOtherComprehensiveIncomeAssociatesAccountedForUsingEquityMethodNetTax,2,2,2
core:ShareOtherComprehensiveIncomeAssociatesJointVenturesAccountedForUsingEquityMethodBeforeTax,2,2,2
core:ShareOtherComprehensiveIncomeAssociatesJointVenturesAccountedForUsingEquityMethodNetTax,2,2,2
core:ShareOtherComprehensiveIncomeJointVenturesAccountedForUsingEquityMethodBeforeTax,2,2,2
core:ShareOtherComprehensiveIncomeJointVenturesAccountedForUsingEquityMethodNetTax,2,2,2
core:Short-termDepositsClassifiedAsCashEquivalents,2,2,2
core:Short-termInvestmentsClassifiedAsCashCashEquivalents,2,2,2
core:SubsidiariesWithMaterialNon-controllingInterests,2,2,2
core:Subsidiary1,2,2,2
core:Subsidiary10,2,2,2
core:Subsidiary100,2,2,2
core:Subsidiary101,2,2,2
core:Subsidiary102,2,2,2
core:Subsidiary103,2,2,2
core:Subsidiary104,2,2,2
core:Subsidiary105,2,2,2
core:Subsidiary106,2,2,2
core:Subsidiary107,2,2,2
core:Subsidiary108,2,2,2
core:Subsidiary109,2,2,2
core:Subsidiary11,2,2,2
core:Subsidiary110,2,2,2
core:Subsidiary111,2,2,2
core:Subsidiary112,2,2,2
core:Subsidiary113,2,2,2
core:Subsidiary114,2,2,2
core:Subsidiary115,2,2,2
core:Subsidiary116,2,2,2
core:Subsidiary117,2,2,2
core:Subsidiary118,2,2,2
core:Subsidiary119,2,2,2
core:Subsidiary12,2,2,2
core:Subsidiary120,2,2,2
core:Subsidiary121,2,2,2
core:Subsidiary122,2,2,2
core:Subsidiary123,2,2,2
core:Subsidiary124,2,2,2
core:Subsidiary125,2,2,2
core:Subsidiary126,2,2,2
core:Subsidiary127,2,2,2
core:Subsidiary128,2,2,2
core:Subsidiary129,2,2,2
core:Subsidiary13,2,2,2
